"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre16.g676450",2.3791481236161,2.80472841595392,3.56279786338151,4.49684371848209,4.4466073163973,4.68157742203995,4.83693641340556,5.11160275574874,5.26834365084999,5.28971310969288,5.02444338398029,4.92145121111134,4.68583514192507
"Cre16.g676650",4.88211255926859,4.0910146439962,4.10754509896643,4.43402561213035,4.4838309276319,4.59297602708299,4.66325910169898,4.91621683693696,4.96076999611183,5.29578234122865,5.20519853858244,5.07946323917501,5.23417976398667
"Cre16.g678000",6.24482945392459,6.75725420183359,6.58917281204066,6.0718282100092,5.78474844158657,5.81075725158371,5.82570671157012,5.90240952301539,5.99427088845826,6.03821190938033,5.863857717196,5.84607032960441,5.79572419801797
"Cre16.g678100",4.80810108468816,4.02532436191307,3.88254158524664,3.93089923002333,3.75542369249661,3.82973967718964,3.88729154579153,3.97172158062251,4.00693968754798,4.24538473296965,4.34715891799423,4.81611015636023,4.82289815067909
"Cre16.g678452",3.58467570807796,3.37040119231899,3.27409252796806,3.22400296260281,3.00841795793379,3.08378935756326,3.01867716276451,3.06449794603098,3.15227997913601,3.60158295544662,3.6478350672733,3.54259068395896,3.62635849506932
"Cre16.g678808",1.63997333389727,1.36142316060884,2.28418785374192,3.03694224245304,2.96202998431247,2.95273153209119,3.12653343576412,3.48472060300159,3.69467516121673,3.78898099896591,3.48902183134137,3.31203443181723,3.50213304620387
"Cre16.g679450",6.04101624821662,5.53107451954958,5.02026472576954,4.12324665621633,3.68514274417087,3.68095487251268,3.11332419985544,2.76723937897666,3.23810577420153,4.40841041152441,4.76406411109468,4.99184520242917,5.10960711666078
"Cre16.g679550",4.90961804148574,1.28948505096636,1.32274477487826,1.88661629570413,2.52009641283026,3.30297943993393,3.85918437527036,4.4043495789492,4.87837799218621,4.93647121749702,4.9849059566729,4.99095143640633,5.08873854757032
"Cre16.g679750",0.109285202120912,0.192754173504719,0.207684640492407,0.14908280193164,0.19538336150487,0.20774413552485,0.341219229867212,0.876526254990173,0.60150658538725,0.72468296038215,0.22153276968521,0.196834400506496,0.823562834393685
"Cre16.g679900",3.5462246665719,2.96925087824162,2.82295499527739,2.43156880585697,2.23176937964016,2.39840269044024,2.63217513239461,3.15243984983046,3.54856729748597,4.18982570675431,4.39262277766107,4.22436244862933,4.35997974409609
"Cre16.g680200",1.72478861053106,1.721739674619,1.79799943766814,1.93684951894553,1.77550757008646,1.9619558478766,1.94190130393259,2.03483389998697,1.9785208309574,1.75538287501816,1.94572320362522,1.80304934420657,1.74994334822154
"Cre16.g680700",0.98283120031829,0.639997098197836,3.28060211316102,4.07985071588879,4.56984046666796,4.52807660667379,4.75078518554732,6.02266353732515,6.28747532356225,7.02372248233469,7.15320903713501,7.01676521782129,7.19317679809352
"Cre16.g680944",5.84164159298216,4.90345731983804,4.20215308026969,3.35385777553698,2.87063546417595,3.16137897341568,3.00895293898165,3.03302736881375,3.43152518240298,4.06024168044731,4.17941178341594,4.1128223675265,4.1923298915287
"Cre16.g682100",2.3026425603956,3.99322489482327,4.27524834828392,4.37025927046098,4.28036443087156,4.24431578544881,3.8552530783054,3.67787727704942,3.17733671063288,3.59003483398029,3.70944320662374,3.81907450590053,3.69933144937684
"Cre16.g684300",6.31525015766507,6.98849983506163,6.97483160744967,6.80650425016015,6.55635740473885,6.36564364569251,6.18731089934289,5.84540106198902,5.6515346346643,5.4396021236712,5.50815895542589,5.61315971912225,5.76407780110106
"Cre16.g685200",5.25915138270237,4.25591529835999,3.59474229808044,2.72694412346661,2.40180752220837,2.4234797983332,2.12755999635131,2.17137052181599,2.6045909787332,3.24302732466185,3.47716516759223,3.20223308745412,3.5054715250297
"Cre16.g685400",2.44295700585889,3.98817216508124,4.07323434137715,4.46466009952604,4.62823975378632,4.66727357952128,4.8798217017514,5.3051398676146,5.81755429334114,6.30727573049865,6.36864520702896,6.41533472531959,6.30989515616322
"Cre16.g685550",5.47176505209461,6.41366720544864,6.83682211731424,7.08177826533064,7.10525664653051,7.23384646147401,7.26205563687144,7.26977508542853,7.33030960588824,7.52736426824496,7.64695034921786,7.76734530589684,7.76357101250907
"Cre16.g687000",3.61178058741887,4.09352259473701,4.18530255709059,4.09391351014839,4.24318603922333,4.22166536643541,4.2209042720038,4.06298462975709,4.04138944921053,4.08258610870971,4.09952781633044,4.11081289297021,3.97477429476582
"Cre16.g687350",0.464850058214196,0.349331499942942,1.60568212768113,2.41905383978826,2.140285178064,1.7966123378366,1.60831279409197,1.81421766639152,1.83790232121726,2.22932880094161,2.15189475694625,2.25844882249039,2.792197464521
"Cre16.g688050",6.2963431075459,5.79825412312183,5.38200665252162,5.07846660330659,4.87917532635655,5.06764855187888,5.02107358817235,5.01172499161033,4.834264260059,5.09942775940427,5.12396859732707,5.04543951410933,5.01589125893339
"Cre16.g689050",3.3212863873267,4.04946458541895,4.27024429004311,4.37746722788983,4.28552225324308,4.23668837664551,4.12679798902169,3.93215300669555,3.68254616956153,3.22936111424572,2.94224987593692,3.07024547341772,3.07595497321977
"Cre16.g689650",6.9202106889572,4.32712152322735,3.94945814112689,5.177817777313,5.53363112446931,5.4368084820479,4.94236900246606,4.76406840985794,4.5742259867657,4.93602854493601,4.97606356701212,5.1688476585122,5.27319471411882
"Cre16.g690200",3.50529415100391,3.59434100296852,3.72734499602099,3.62228966563031,3.62885938797469,3.83994530549573,3.95017349097181,4.17896911285825,4.30936233045915,4.19619207294072,3.83957781628778,3.87245219497573,3.73543288884166
"Cre16.g691500",3.66313815531011,2.97420697889643,3.36865815338312,3.75535162751938,3.9127277191922,3.93957570895716,4.03704610610551,4.12634366643388,4.26495415093956,4.3928087531503,4.55135144999095,4.4410541486334,4.54462017239746
